Parola,Traduzione,Spiegazione (A1 russo),Nota,Esempio,RipetizioniTotali,OggiPubblicazioni,Tipo,DaRipassareDomani,FileVideo
лицо,viso,"Передняя часть головы: глаза, нос, рот.",Neutro. Significa sia 'volto' sia 'persona' in certi contesti.,У неё красивое лицо. — Ha un bel viso.,17,3,nuova,1,01_video.mp4   
лоб,fronte,Часть лица над глазами.,Maschile. Parte alta del viso sopra gli occhi.,У него высокий лоб. — Ha la fronte alta.,17,2,nuova,1,02_video.mp4   
нос,naso,"Часть лица, чтобы дышать и чувствовать запах.",Maschile. Si usa anche in espressioni idiomatiche.,У меня маленький нос. — Ho un naso piccolo.,15,3,nuova,1,03_video.mp4     
рот,bocca,"Часть лица, чтобы говорить и есть.",Maschile. Indica la bocca in senso anatomico.,"Открой рот, пожалуйста. — Apri la bocca, per favore.",17,3,nuova,1,04_video.mp4      
зуб,dente,"Белая твёрдая часть во рту, чтобы есть.",Maschile. Spesso al plurale 'зубы'.,У меня болит зуб. — Mi fa male un dente.,15,3,nuova,1,05_video.mp4      
ухо,orecchio,"Часть головы, чтобы слышать.",Neutro. Plurale 'уши'.,У него большие уши. — Ha grandi orecchie.,10,2,nuova,1,06_video.mp4   
волосы,capelli,"То, что растёт на голове.",Plurale. Sempre usato al plurale per 'capelli'.,У неё длинные волосы. — Ha i capelli lunghi.,10,2,nuova,1,07_video.mp4      
сердце,cuore,"Орган в груди, который бьётся.",Neutro. Indica l'organo o in senso figurato 'cuore'.,У него доброе сердце. — Ha un cuore gentile.,6,0,nuova,1,08_video.mp4      
палец,dito,Часть руки или ноги.,Maschile. Plurale 'пальцы'.,У меня болит палец. — Mi fa male un dito.,1,0,nuova,0,09_video.mp4   
высокий,alto,"Не низкий, большой по росту или размеру.","Aggettivo. Si usa per persone, edifici ecc.",Он высокий человек. — È una persona alta.,0,0,nuova,0,10_video.mp4      
длинный,lungo,"Не короткий, большой по длине.",Aggettivo. Indica lunghezza fisica.,У неё длинные волосы. — Ha i capelli lunghi.,0,0,nuova,0,11_video.mp4      
короткий,corto,"Маленький по длине, не длинный.",Aggettivo. Contrario di 'длинный'.,Это короткая дорога. — Questa è una strada corta.,0,0,nuova,0,12_video.mp4      
красивый,bello,"Хороший для глаз, приятно видеть.",Aggettivo. Spesso per persone o cose belle.,Она красивая девушка. — È una ragazza bella.,0,0,nuova,0,13_video.mp4      
низкий,basso,"Не высокий, маленький по росту или размеру.",Aggettivo. Opposto di 'высокий'.,Он низкий человек. — È una persona bassa.,0,0,nuova,0,14_video.mp4   
светлый,chiaro / biondo,"Не тёмный, много света или цвет как солнце.",Aggettivo. Può indicare colore chiaro o capelli biondi.,У неё светлые глаза. — Ha gli occhi chiari.,0,0,nuova,0,15_video.mp4      
седой,grigio (di capelli),Цвет волос — белый или серый.,Aggettivo. Solo per capelli canuti.,У него седые волосы. — Ha i capelli grigi.,0,0,nuova,0,16_video.mp4      
сильный,forte,У кого много силы.,Aggettivo. Significa 'forte' fisicamente o moralmente.,Он сильный спортсмен. — È un atleta forte.,0,0,nuova,0,17_video.mp4      
симпатичный,simpatico / carino,"Хороший, приятный человек.","Aggettivo. Cortese, carino (non troppo forte come 'красивый').",Он симпатичный парень. — È un ragazzo simpatico/carino.,0,0,nuova,0,18_video.mp4      
тёмный,scuro / moro,"Не светлый, мало света, цвет как ночь.","Aggettivo. Indica colore scuro, capelli mori.",У неё тёмные волосы. — Ha i capelli scuri.,0,0,nuova,0,19_video.mp4      
